time,download,upload,ping
00:05,10.86,5.45,41.37
01:05,10.81,5.37,40.83
02:05,10.8,5.78,39.71
03:05,11.5,5.86,40.0
04:05,12.85,6.07,40.02
05:05,12.66,5.73,38.87
06:05,11.5,5.83,37.77
07:05,7.37,1.64,45.12
08:05,5.43,1.65,46.35
09:05,11.9,5.72,45.65
10:05,7.52,3.68,40.19
11:05,8.19,3.87,45.32
