time,download,upload,ping
00:00,4.39,2.27,46.51
01:00,4.26,2.46,44.22
02:00,4.28,2.78,46.35
03:00,4.45,2.63,45.82
04:00,3.85,2.45,46.51
05:00,3.72,2.41,46.04
06:00,3.69,2.38,46.78
07:00,2.99,4.81,58.52
08:00,2.96,4.99,58.22
09:00,1.27,5.08,62.89
10:00,0.52,2.03,968.8
11:00,3.3,1.52,63.79
12:00,2.1,2.11,92.01
13:00,4.58,1.8,46.55
14:00,2.65,1.73,46.86
14:07,6.34,4.32,39.86
15:00,6.28,4.1,43.06
16:00,4.44,1.81,39.37
17:00,4.61,2.63,40.19
18:00,5.32,1.2,57.13
19:00,6.23,5.13,37.53
20:00,6.28,5.83,37.73
21:00,6.25,5.76,38.4
22:00,5.18,5.05,47.58
23:00,6.22,5.15,38.85
23:30,6.32,5.02,39.36
