time,download,upload,ping
00:00,6.31,2.98,39.36
01:00,6.22,3.83,41.56
02:00,6.23,3.91,39.03
03:00,6.22,3.89,39.3
04:00,6.28,4.39,38.89
05:00,6.28,4.1,39.17
06:00,6.15,4.23,38.9
07:00,6.37,4.3,39.56
08:00,6.3,3.81,42.2
09:00,6.25,5.2,37.74
10:00,6.37,5.57,39.85
11:00,6.32,2.93,46.48
12:00,6.25,2.94,44.0
13:00,6.08,3.19,46.21
14:00,6.26,2.73,49.15
15:00,6.04,3.04,44.05
16:00,5.45,3.17,46.05
17:00,6.05,4.62,41.51
18:00,6.27,5.34,39.21
19:00,6.3,2.86,46.07
20:00,4.17,2.89,79.73
21:00,6.21,2.97,50.2
22:00,6.06,2.82,52.35
23:00,6.31,3.52,45.91
23:30,5.33,3.17,102.39
