time,download,upload,ping
00:00,2.11,4.98,58.18
01:00,5.61,3.07,46.52
02:00,4.57,2.94,46.34
03:00,5.05,2.98,46.51
04:00,5.49,2.5,46.37
05:00,5.58,2.92,46.52
06:00,4.17,2.75,46.53
07:00,6.33,2.8,48.73
08:00,5.91,2.43,46.54
09:00,3.27,2.64,45.73
10:00,2.99,2.39,46.02
11:00,3.59,2.54,45.67
12:00,3.05,2.33,46.0
13:00,1.42,3.37,529.99
14:00,3.09,3.3,38.19
15:00,2.79,5.72,38.67
16:00,2.65,5.33,100.56
17:00,2.54,5.16,42.35
18:00,1.28,4.72,210.67
19:00,2.63,5.32,61.53
20:00,2.56,4.83,60.55
21:00,2.74,5.47,37.21
22:00,2.84,5.02,57.71
23:00,2.88,5.39,68.03
23:30,3.7,3.78,58.35
