time,download,upload,ping
00:00,1.36,5.31,80.52
01:00,5.56,1.83,78.67
02:00,5.44,2.1,66.02
03:00,4.8,2.02,69.16
04:00,3.34,1.98,84.22
05:00,3.61,1.04,69.22
06:00,5.57,2.05,110.07
07:00,4.69,2.24,65.56
08:00,5.05,1.88,82.03
09:00,6.72,3.63,75.76
10:00,3.04,2.75,113.01
11:00,5.33,4.87,71.02
12:00,4.18,5.55,99.52
13:00,4.31,2.28,67.16
14:00,3.85,4.42,87.87
15:00,4.24,5.23,68.54
16:00,4.89,5.25,57.45
17:00,4.66,6.12,55.53
18:00,5.33,4.94,55.85
19:00,2.2,2.54,284.32
20:00,2.56,1.8,62.08
21:00,4.27,2.91,66.54
22:00,4.08,1.06,56.35
23:00,4.23,2.85,80.22
23:30,2.62,1.49,78.04
