time,download,upload,ping
00:00,6.18,5.3,42.4
01:00,6.16,5.75,38.02
02:00,6.26,5.84,37.72
03:00,6.29,4.52,40.23
04:00,6.36,5.61,40.41
05:00,6.36,5.73,40.07
06:00,6.14,5.57,40.85
07:00,6.28,5.63,39.37
08:00,6.34,5.35,40.51
09:00,6.21,5.73,39.74
10:00,5.92,3.77,46.53
11:00,6.06,3.6,50.71
12:00,6.34,4.19,46.03
13:00,6.4,3.57,44.35
14:00,6.44,2.83,50.54
15:00,6.23,2.54,50.05
17:00,4.92,3.2,157.28
18:00,5.44,3.66,46.7
19:00,5.53,4.35,41.03
20:00,6.19,5.24,37.22
21:00,6.31,5.62,38.26
22:00,6.45,5.17,38.54
23:00,6.27,5.26,40.53
23:30,5.91,5.52,37.68
