time,download,upload,ping
00:00,1.47,3.23,37.61
01:00,3.21,3.36,35.1
02:00,3.25,3.45,36.57
03:00,3.31,3.4,35.15
04:00,3.17,3.71,35.39
05:00,3.19,3.58,35.6
06:00,2.42,3.67,38.7
07:00,2.63,3.78,40.47
08:00,2.1,3.28,38.24
09:00,9.43,4.54,38.73
10:00,10.1,5.0,37.27
11:00,2.66,1.98,44.72
12:00,4.35,5.33,38.05
13:00,2.41,2.59,61.54
14:00,4.42,1.94,59.97
15:00,3.96,4.49,52.09
16:00,5.65,3.95,51.36
17:00,6.39,5.09,56.68
18:00,0.87,0.19,152.67
19:00,2.79,2.72,75.35
20:00,4.28,2.04,55.87
21:00,3.87,3.18,54.52
22:00,2.69,2.87,123.17
23:00,4.25,3.71,52.03
23:30,5.82,2.15,51.53
