time,download,upload,ping
00:00,3.8,2.62,46.46
01:00,4.2,2.73,53.69
02:00,4.12,2.95,46.67
03:00,5.38,5.54,47.41
04:00,4.02,2.96,46.64
05:00,5.51,5.43,42.87
06:00,5.08,5.26,43.76
07:00,3.92,5.01,46.07
08:00,3.74,4.16,47.69
09:00,4.71,2.08,49.2
10:00,4.71,3.07,50.9
11:00,5.21,3.2,54.02
12:00,4.89,5.52,35.52
13:00,5.28,5.04,35.89
14:00,6.56,4.66,36.77
15:00,5.31,5.38,37.16
16:00,8.04,5.01,39.87
17:00,7.6,4.62,36.04
18:00,3.45,3.07,116.41
19:00,3.3,2.51,37.16
20:00,4.4,3.99,36.41
21:00,3.86,3.69,38.51
22:00,3.11,3.5,35.06
23:00,3.28,2.72,99.8
23:30,3.46,2.85,73.85
