time,download,upload,ping
00:00,6.09,4.95,39.06
02:00,5.83,5.34,38.21
03:00,5.61,5.78,37.4
04:00,6.03,5.3,42.68
05:00,6.12,5.74,39.92
06:00,6.1,5.45,37.02
07:00,2.36,2.43,42.54
08:00,5.74,5.36,42.54
09:00,4.41,5.72,36.0
10:00,3.82,5.49,37.87
11:00,3.61,5.58,38.38
12:00,4.32,5.64,37.36
13:00,2.62,2.12,75.27
14:00,2.61,2.12,267.38
15:00,4.54,1.79,46.48
16:00,3.57,1.89,42.96
17:00,5.84,4.65,38.53
18:00,5.66,3.53,38.32
19:00,5.65,2.37,47.63
20:00,5.21,2.57,49.01
21:00,6.83,5.44,40.55
22:00,7.98,6.32,36.68
23:00,5.59,3.1,48.46
23:30,4.62,4.1,47.8
