time,download,upload,ping
00:00,4.75,3.12,53.04
01:00,6.79,3.55,54.05
02:00,7.43,2.4,56.22
03:00,7.53,3.47,54.11
04:00,6.86,3.98,54.38
05:00,6.41,3.77,54.88
06:00,3.38,3.17,54.22
07:00,4.93,2.91,56.53
08:00,6.42,3.35,58.76
09:00,5.94,3.16,54.81
10:00,6.95,2.8,54.64
11:00,3.75,3.58,57.43
12:00,7.2,5.09,59.3
13:00,2.7,3.21,95.3
14:00,7.41,3.62,56.92
15:00,7.63,3.12,55.53
16:00,5.76,2.97,56.15
17:00,4.97,4.96,62.03
18:00,1.8,3.94,106.51
19:00,5.38,3.93,56.32
20:00,2.6,4.29,96.23
21:00,6.09,4.45,54.0
22:00,2.8,4.22,60.87
23:00,3.82,4.62,54.71
23:30,5.95,4.06,50.72
