time,download,upload,ping
00:00,4.07,1.35,62.02
01:00,4.54,1.79,61.52
02:00,5.98,2.82,53.19
03:00,6.06,2.81,54.62
04:00,5.87,2.63,55.56
05:00,5.64,2.3,55.37
06:00,5.39,2.37,57.23
07:00,5.71,2.33,55.3
08:00,5.54,2.5,57.18
09:00,5.39,1.99,53.64
10:00,2.62,5.11,53.37
11:00,2.83,2.69,118.69
12:00,3.3,2.66,56.07
13:00,2.85,3.39,57.9
14:00,2.36,3.78,65.94
15:00,3.17,6.93,53.23
16:00,2.0,5.44,55.39
17:00,3.45,4.29,54.51
18:00,3.33,2.89,61.31
19:00,3.18,2.81,68.0
20:00,3.34,4.06,58.55
21:00,7.39,3.64,57.86
22:00,8.75,2.92,56.19
23:00,6.88,3.93,53.67
23:30,5.04,7.17,50.72
