time,download,upload,ping
00:00,4.55,3.23,55.37
01:00,6.05,3.77,53.35
02:00,6.2,3.34,53.67
03:00,6.54,3.39,54.94
04:00,6.51,3.86,52.39
05:00,4.3,3.74,52.24
06:00,4.89,3.15,54.98
07:00,4.95,3.43,52.67
08:00,4.49,3.0,53.88
09:00,3.69,3.9,50.55
10:00,4.77,4.12,49.69
11:00,4.44,1.21,62.77
12:00,3.15,2.14,65.43
13:00,4.03,1.41,66.19
14:00,3.9,2.56,55.38
15:00,3.38,1.11,53.14
16:00,2.89,1.54,119.43
17:00,4.02,1.51,53.91
18:00,4.36,1.56,63.81
19:00,5.28,6.03,51.9
20:00,6.39,6.26,52.86
21:00,3.87,6.65,53.19
22:00,4.52,6.23,51.69
23:00,4.76,5.49,53.04
23:30,4.4,5.96,56.23
