time,download,upload,ping
00:00,4.41,3.09,42.71
01:00,3.91,4.48,81.82
02:00,3.17,4.38,88.3
03:00,5.74,4.77,83.42
04:00,7.25,4.93,32.66
05:00,7.85,4.87,45.69
06:00,7.33,4.73,42.33
07:00,6.22,4.37,38.4
08:00,7.45,4.62,48.43
09:00,5.94,5.08,63.66
10:00,5.49,6.3,66.46
11:00,8.2,1.0,41.9
12:00,6.77,5.97,38.87
13:00,4.43,5.08,52.54
14:00,2.44,5.01,41.08
15:00,3.08,5.25,75.04
16:00,4.3,5.07,78.39
17:00,7.54,5.96,45.83
18:00,4.54,5.86,39.08
19:00,3.0,6.18,46.98
20:00,2.81,5.55,38.95
21:00,6.6,5.05,39.74
22:00,7.6,5.83,32.4
23:00,4.44,5.8,44.93
23:30,3.41,1.64,37.87
