time,download,upload,ping
00:00,3.33,0.61,91.2
01:00,2.76,0.87,46.43
02:00,8.1,1.14,52.38
03:00,7.55,1.01,39.89
04:00,7.67,1.14,45.97
05:00,6.91,1.21,39.48
06:00,6.95,1.23,39.36
07:00,5.59,1.03,46.58
08:00,5.76,0.88,43.05
09:00,6.97,2.93,38.63
10:00,6.95,5.62,35.06
11:00,7.04,3.86,35.31
12:00,7.97,3.84,41.67
13:00,6.04,3.77,40.04
14:00,6.08,3.93,38.13
15:00,7.45,5.38,47.03
16:00,3.07,2.39,41.88
17:00,7.28,3.73,49.09
18:00,5.96,4.44,54.24
19:00,5.95,0.69,84.08
20:00,5.71,0.57,70.1
21:00,7.05,0.86,45.01
22:00,9.23,3.05,37.7
23:00,7.4,2.95,36.67
23:30,5.93,0.96,41.3
