time,download,upload,ping
00:00,2.39,1.25,37.29
01:00,6.93,1.75,34.85
02:00,7.35,2.1,40.66
03:00,6.88,2.23,35.69
04:00,7.5,2.19,38.47
05:00,6.79,2.34,45.32
06:00,5.52,2.12,45.09
07:00,6.81,2.21,37.98
08:00,6.4,2.04,35.84
09:00,12.89,1.49,49.84
10:00,12.61,1.7,38.06
11:00,10.47,1.37,38.93
12:00,8.65,5.63,31.02
13:00,8.93,5.92,34.17
14:00,8.55,5.82,33.47
15:00,5.14,5.84,42.3
16:00,7.37,5.67,38.15
17:00,5.6,3.18,34.18
18:00,8.2,1.94,39.16
19:00,3.51,3.21,109.65
20:00,7.36,3.16,84.52
21:00,5.58,3.41,41.04
22:00,7.22,2.72,40.51
23:00,5.64,4.7,36.32
23:30,3.77,1.21,39.88
