time,download,upload,ping
00:00,4.49,0.26,62.28
01:00,4.21,0.23,82.25
02:00,5.95,1.36,39.09
03:00,6.08,1.15,51.65
04:00,5.89,1.12,42.06
05:00,6.21,1.0,50.9
06:00,5.47,1.18,44.07
07:00,5.03,1.51,36.16
08:00,4.87,1.49,47.56
09:00,3.02,5.79,120.14
10:00,5.87,5.52,56.59
11:00,5.74,5.82,85.67
12:00,7.5,5.88,42.83
13:00,2.87,4.37,62.8
14:00,5.25,5.59,50.47
15:00,5.53,5.86,39.85
16:00,5.79,4.55,37.9
17:00,6.68,4.32,92.66
18:00,5.56,2.08,59.74
19:00,3.9,1.53,46.41
20:00,4.16,2.05,79.19
21:00,6.57,1.83,52.39
22:00,8.66,3.22,49.67
23:00,9.37,3.89,42.23
23:30,7.44,2.41,57.73
