time,download,upload,ping
00:00,4.11,6.33,34.53
01:00,4.22,6.64,32.53
02:00,4.57,6.22,31.2
03:00,4.82,6.47,32.28
04:00,5.26,6.34,32.66
05:00,5.08,6.54,31.39
06:00,3.35,6.89,35.75
07:00,3.33,6.55,33.33
08:00,3.5,6.67,32.3
09:00,3.19,3.8,37.57
10:00,6.78,2.17,38.84
11:00,2.82,2.15,43.98
12:00,2.37,1.92,43.85
13:00,3.44,2.91,51.64
14:00,4.08,2.86,46.31
15:00,3.79,2.3,42.35
16:00,3.22,0.54,52.56
17:00,3.77,0.9,46.52
18:00,4.07,4.44,38.14
19:00,3.28,1.49,91.58
20:00,8.18,1.8,42.08
21:00,7.43,1.37,41.57
22:00,6.07,1.89,41.83
23:00,3.26,1.65,41.03
23:30,3.31,2.84,56.48
