time,download,upload,ping
00:00,3.71,0.86,44.1
01:00,3.84,1.0,49.6
02:00,4.25,1.07,40.38
03:00,5.01,0.99,39.85
04:00,4.89,0.89,50.7
05:00,5.33,2.08,45.92
06:00,5.6,2.26,39.85
07:00,6.08,1.7,39.37
08:00,5.78,1.73,39.86
09:00,10.38,2.83,37.17
10:00,1.94,2.71,77.81
11:00,0.95,2.02,65.58
12:00,6.7,6.95,36.05
13:00,6.68,6.96,42.71
14:00,6.83,5.93,36.49
15:00,8.79,6.44,32.52
16:00,4.07,5.65,32.55
17:00,2.72,1.67,36.65
18:00,2.55,2.13,52.65
19:00,1.74,2.01,56.2
20:00,6.07,2.08,35.86
21:00,0.99,1.35,219.66
22:00,1.24,1.55,401.71
23:00,10.39,1.78,45.47
23:30,2.64,3.33,86.53
