time,download,upload,ping
00:00,3.86,1.47,58.6
01:00,4.61,1.5,53.07
02:00,4.01,1.46,47.59
03:00,3.65,1.57,55.38
04:00,5.65,2.51,47.85
05:00,4.51,1.42,46.39
06:00,4.33,1.4,43.94
07:00,3.11,1.94,46.14
08:00,6.33,2.16,59.59
09:00,11.23,4.34,42.96
10:00,4.69,3.63,86.6
11:00,7.64,4.37,41.23
13:00,11.01,1.61,42.34
14:00,6.29,1.79,75.88
15:00,6.69,1.67,36.15
16:00,6.68,1.71,44.7
17:00,9.52,1.56,39.01
18:00,7.5,1.08,34.76
19:00,8.68,1.95,40.85
20:00,7.03,1.37,40.56
21:00,7.7,1.54,45.96
22:00,7.33,1.6,36.34
23:00,4.31,1.72,50.76
23:30,3.52,1.13,134.75
