time,download,upload,ping
00:00,4.63,1.06,44.53
01:00,6.0,1.02,44.5
02:00,3.96,1.89,43.69
03:00,5.24,2.4,44.14
04:00,6.33,0.99,46.65
05:00,5.8,1.06,47.49
06:00,6.29,1.07,43.69
07:00,5.98,1.05,43.67
08:00,5.57,0.85,46.53
09:00,5.56,4.77,39.19
10:00,5.5,5.01,35.82
11:00,6.87,1.5,38.59
12:00,5.29,3.44,92.11
13:00,5.49,4.15,37.81
14:00,6.62,4.2,36.52
15:00,6.11,4.55,37.96
16:00,7.86,6.26,36.05
17:00,7.78,4.65,35.55
18:00,6.54,2.19,43.39
19:00,6.8,2.88,49.41
20:00,7.95,2.38,46.08
21:00,9.93,2.92,40.4
22:00,4.1,2.82,38.59
23:00,7.78,2.04,43.17
23:30,3.73,2.99,50.28
