time,download,upload,ping
00:00,3.1,0.61,46.47
01:00,3.35,0.51,48.02
02:00,1.67,0.85,38.21
03:00,5.53,0.79,39.58
04:00,4.47,0.91,39.28
05:00,4.61,0.85,33.31
06:00,4.84,0.8,40.85
07:00,4.41,0.81,33.03
08:00,4.41,0.79,40.03
09:00,9.56,3.22,36.12
10:00,6.84,5.0,36.83
11:00,9.19,2.67,41.34
12:00,2.05,2.56,39.05
13:00,1.4,2.16,58.68
14:00,7.96,3.76,37.25
15:00,8.18,5.6,36.68
16:00,8.5,4.55,38.0
17:00,11.39,2.87,38.35
18:00,12.98,2.02,38.2
19:00,7.82,2.68,38.52
20:00,8.1,3.21,37.8
21:00,11.61,2.78,50.11
22:00,11.29,2.68,38.16
23:00,11.6,3.05,39.5
23:30,1.62,1.58,48.16
