time,download,upload,ping
00:00,2.82,1.77,39.17
01:00,3.39,2.01,45.65
02:00,3.81,2.06,39.47
03:00,4.01,1.8,46.02
04:00,5.27,1.99,45.24
05:00,4.62,1.56,39.79
06:00,6.88,2.05,36.34
07:00,5.83,1.95,37.22
08:00,5.47,2.3,35.14
09:00,8.12,2.34,39.14
10:00,2.95,2.81,39.06
11:00,5.83,2.66,45.43
12:00,2.12,3.04,39.96
13:00,8.43,1.53,48.52
14:00,5.63,6.5,45.61
15:00,3.25,0.85,564.91
16:00,5.64,6.32,38.53
17:00,6.71,6.26,39.44
18:00,6.53,6.29,37.03
19:00,4.18,2.81,40.84
20:00,4.17,3.5,44.17
21:00,3.49,2.76,42.5
22:00,4.42,2.08,38.55
23:00,5.23,1.81,39.85
23:30,4.68,1.26,43.41
