time,download,upload,ping
00:00,5.53,1.44,52.49
01:00,7.82,1.36,44.02
02:00,6.72,1.49,49.99
03:00,7.14,1.47,43.14
04:00,4.24,2.99,45.33
05:00,5.12,2.96,43.95
06:00,4.21,2.93,39.84
07:00,4.27,2.89,41.13
08:00,6.1,1.16,46.48
09:00,8.34,3.99,38.34
10:00,9.28,4.68,46.81
11:00,12.98,4.87,44.63
12:00,10.97,4.44,47.57
13:00,12.89,4.82,37.49
14:00,11.41,4.79,39.83
15:00,12.27,5.44,43.96
16:00,9.42,6.09,35.63
17:00,12.29,4.18,34.08
18:00,10.11,3.72,39.34
19:00,3.96,4.04,36.2
20:00,3.96,2.5,45.37
21:00,7.87,2.92,42.63
22:00,6.51,2.5,42.56
23:00,7.75,2.94,38.93
23:30,6.85,1.11,43.97
