time,download,upload,ping
00:00,5.82,0.94,46.45
01:00,6.08,1.02,39.83
02:00,5.73,0.73,39.81
03:00,6.08,0.51,39.15
04:00,6.34,0.9,39.69
05:00,6.03,0.71,42.72
06:00,6.67,4.5,35.04
07:00,5.53,4.59,31.0
08:00,6.56,3.97,31.03
09:00,9.35,2.07,38.5
10:00,7.72,1.91,33.02
11:00,9.19,6.41,34.07
12:00,8.66,2.52,39.61
13:00,8.29,1.29,41.77
14:00,9.67,2.27,38.81
15:00,10.1,2.77,40.34
16:00,9.73,2.69,41.05
17:00,7.51,2.32,40.15
18:00,6.72,1.62,103.04
19:00,7.02,2.21,37.4
20:00,4.91,1.93,38.33
21:00,7.76,2.39,42.84
22:00,7.29,2.29,39.52
23:00,6.29,1.67,39.4
23:30,7.46,1.76,35.63
