time,download,upload,ping
00:00,4.5,2.35,52.63
01:00,6.09,2.66,35.37
02:00,6.32,2.12,33.67
03:00,6.96,2.91,35.7
04:00,8.08,3.24,33.9
05:00,7.39,3.12,34.19
06:00,8.14,3.18,37.39
07:00,7.84,3.21,34.02
08:00,6.79,0.74,341.16
09:00,6.33,1.65,34.16
10:00,9.82,4.76,37.53
11:00,1.51,3.16,37.51
12:00,7.59,3.06,36.51
13:00,6.32,5.9,36.4
14:00,8.73,7.74,32.38
15:00,4.82,7.64,44.47
16:00,5.58,7.56,36.48
17:00,7.07,5.77,36.5
18:00,6.09,5.68,29.73
19:00,5.24,4.72,43.19
20:00,2.76,5.22,39.72
21:00,3.02,5.04,39.16
23:00,3.19,5.35,38.65
23:30,4.07,4.68,30.85
