time,download,upload,ping
00:00,2.48,2.67,39.66
01:00,2.96,2.7,43.08
02:00,3.08,2.66,39.62
03:00,2.81,2.88,45.7
04:00,3.12,2.91,40.01
05:00,3.3,2.84,42.55
06:00,3.13,3.14,43.5
07:00,3.0,2.95,43.77
08:00,2.89,2.79,39.68
09:00,8.57,2.11,37.78
10:00,7.1,2.11,44.47
11:00,8.21,1.97,41.34
12:00,1.2,2.99,40.27
13:00,2.49,4.32,44.17
14:00,2.47,3.68,39.28
15:00,1.37,3.23,39.71
16:00,2.74,4.33,40.08
17:00,9.43,3.82,34.9
18:00,10.07,3.03,42.33
21:00,10.27,3.63,37.93
22:00,7.56,3.55,69.69
23:00,7.86,8.46,35.14
23:30,4.0,0.46,80.8
