time,download,upload,ping
00:00,5.75,2.24,54.54
01:00,5.28,2.42,59.98
02:00,6.01,2.38,54.56
03:00,6.08,2.6,44.98
04:00,6.04,2.51,38.38
05:00,5.49,2.98,39.54
06:00,5.14,2.99,54.02
07:00,4.9,2.7,54.84
08:00,3.84,2.19,57.84
09:00,6.52,2.55,57.84
10:00,4.63,2.55,60.3
11:00,2.97,1.29,74.55
12:00,1.91,1.19,67.19
13:00,3.53,1.19,73.29
14:00,3.18,1.84,50.45
15:00,5.11,1.7,57.69
16:00,4.2,1.42,66.62
17:00,6.15,2.97,49.49
18:00,3.44,2.1,68.89
19:00,3.42,2.26,57.71
20:00,5.98,2.26,58.34
21:00,7.09,4.22,52.81
22:00,3.08,1.82,83.54
23:00,5.35,2.03,60.34
23:30,3.02,1.13,66.52
