time,download,upload,ping
00:00,2.84,4.1,52.72
01:00,3.57,5.88,55.98
02:00,2.57,5.54,53.28
03:00,4.23,5.23,52.52
04:00,4.39,5.32,59.53
05:00,3.43,4.65,52.47
06:00,3.6,3.09,54.54
07:00,3.37,5.4,52.17
08:00,4.64,5.64,51.48
09:00,3.7,4.18,54.04
10:00,4.64,8.65,53.68
11:00,2.88,2.15,174.4
12:00,3.76,2.96,62.36
13:00,2.48,2.73,95.56
14:00,4.63,2.67,66.03
15:00,4.26,2.2,66.33
16:00,2.99,2.78,66.39
17:00,5.77,2.3,63.55
18:00,7.13,3.55,57.89
19:00,6.64,2.98,55.94
20:00,8.35,2.7,56.23
21:00,6.07,3.97,91.61
22:00,9.1,2.55,56.06
23:00,4.23,2.24,63.49
23:30,9.13,2.6,58.64
