time,download,upload,ping
00:00,6.31,5.1,54.19
01:00,5.6,5.66,53.67
02:00,5.82,5.26,57.05
03:00,4.45,5.6,54.87
04:00,5.49,5.64,56.16
05:00,4.31,5.62,55.49
06:00,4.23,5.65,54.63
07:00,5.26,5.48,58.02
08:00,7.54,5.12,56.52
09:00,4.29,4.86,57.02
10:00,2.89,3.38,144.25
11:00,0.77,1.92,880.83
12:00,3.55,1.68,69.01
13:00,4.13,3.42,61.52
14:00,2.82,4.15,56.21
15:00,3.07,4.35,58.34
16:00,7.07,3.56,54.98
17:00,3.35,4.25,60.04
18:00,5.4,4.69,56.58
19:00,6.02,5.69,56.34
20:00,3.74,3.46,74.6
21:00,4.99,4.29,54.88
22:00,5.09,5.07,63.45
23:00,6.31,4.71,58.72
23:30,2.94,4.49,53.89
