time,download,upload,ping
00:05,13.36,3.43,51.86
01:05,13.84,5.16,51.74
02:05,13.52,4.55,53.81
03:05,13.91,4.99,51.26
04:05,13.92,5.56,55.24
05:05,13.75,5.27,55.23
06:05,13.52,2.72,54.55
07:05,13.97,5.07,38.18
08:05,12.24,4.51,37.19
09:05,6.76,2.28,44.84
10:05,6.14,1.58,64.17
11:05,3.93,1.6,73.05
12:05,5.1,1.44,55.45
13:05,5.63,2.24,56.37
14:05,6.02,1.82,56.98
15:05,5.28,1.15,71.82
17:05,6.1,2.62,53.91
18:05,9.01,5.53,55.58
19:05,10.81,7.57,56.52
20:05,4.36,5.23,55.4
21:05,8.08,5.87,53.12
22:05,7.67,5.75,55.38
23:05,6.19,6.04,54.59
