time,download,upload,ping
00:00,4.25,2.38,58.27
01:00,3.16,2.81,56.0
02:00,5.02,2.55,55.37
03:00,3.92,2.42,56.55
04:00,4.86,2.42,58.67
05:00,5.05,2.6,56.18
06:00,4.64,2.04,53.51
07:00,4.9,2.48,52.49
08:00,4.61,2.29,54.89
09:00,6.72,2.66,57.77
10:00,6.31,2.13,55.04
11:00,5.14,3.49,55.14
12:00,4.89,3.84,56.83
13:00,6.74,3.96,58.43
14:00,4.61,3.98,63.44
15:00,7.32,3.33,58.4
16:00,2.41,2.07,102.96
17:00,4.16,1.64,66.51
18:00,1.22,0.15,174.84
19:00,3.15,2.48,113.21
20:00,5.95,3.13,67.82
21:00,5.41,3.22,51.34
22:00,4.17,2.78,60.47
23:00,7.51,3.17,49.01
23:30,3.91,2.5,58.0
