time,download,upload,ping
00:05,11.91,7.52,52.54
01:05,13.4,7.33,53.33
02:05,13.69,7.48,51.72
03:05,14.01,8.17,53.02
04:05,13.6,7.85,54.87
05:05,14.28,7.77,54.53
06:05,13.9,7.63,53.35
07:05,13.87,7.0,56.03
08:05,6.58,2.82,53.21
09:05,6.44,3.22,55.18
10:05,2.84,1.92,253.61
11:05,4.61,3.05,63.48
12:05,5.78,2.92,59.87
14:05,4.86,4.11,62.54
15:05,6.48,4.01,55.58
16:05,5.57,4.59,110.61
17:05,5.38,2.12,55.42
18:05,5.49,1.55,59.6
19:05,6.76,8.89,53.08
20:05,6.69,11.23,54.04
21:05,8.42,10.18,49.07
22:05,6.31,3.11,97.08
23:05,5.74,1.96,59.79
