time,download,upload,ping
00:00,4.77,1.9,45.42
01:00,0.91,2.38,48.16
02:00,0.77,0.78,73.02
03:00,2.86,1.16,32.02
04:00,1.87,2.31,39.69
05:00,3.79,0.91,47.06
06:00,4.47,1.0,45.56
07:00,4.77,1.21,46.47
08:00,5.52,1.0,44.02
09:00,13.48,1.56,37.7
10:00,9.49,1.02,35.96
11:00,1.97,1.27,114.51
12:00,7.05,4.58,37.12
13:00,8.26,6.01,33.14
14:00,7.21,6.12,50.52
15:00,3.03,1.38,42.14
16:00,1.49,2.84,40.87
17:00,6.72,2.11,37.72
18:00,5.74,1.3,40.17
19:00,8.88,3.36,48.7
20:00,7.72,3.39,38.89
21:00,8.53,3.47,33.42
22:00,4.79,4.36,36.15
23:30,2.86,3.85,192.52
