time,download,upload,ping
00:00,1.29,0.36,46.78
01:00,3.13,1.5,46.05
02:00,3.3,1.31,47.09
03:00,3.61,1.57,39.63
04:00,3.77,1.27,49.55
05:00,3.74,1.65,46.53
06:00,3.84,1.71,42.27
07:00,4.09,1.81,39.7
08:00,3.39,1.49,45.2
09:00,8.37,6.61,36.84
10:00,9.05,4.72,35.86
11:00,2.3,2.52,75.78
12:00,6.68,5.61,61.62
13:00,7.13,5.28,36.76
14:00,7.75,5.39,32.02
15:00,6.02,5.22,32.11
16:00,4.24,4.14,34.53
17:00,4.47,5.15,36.85
18:00,4.98,5.31,34.85
19:00,4.86,0.47,47.79
20:00,7.05,0.49,49.11
21:00,2.17,3.14,550.22
22:00,3.23,4.03,80.44
23:00,3.65,3.23,38.15
23:30,4.82,4.49,55.59
