time,download,upload,ping
00:00,3.03,4.6,102.95
01:00,3.52,2.72,37.21
02:00,5.08,2.71,36.08
03:00,5.31,2.97,36.64
04:00,5.3,2.89,32.52
05:00,5.34,2.9,36.48
06:00,4.01,2.93,37.7
07:00,5.02,2.89,31.37
08:00,4.25,2.84,34.95
09:00,4.07,2.7,34.98
10:00,3.07,1.82,41.33
11:00,2.12,1.3,40.07
12:00,8.45,5.95,34.66
13:00,8.47,6.62,59.38
14:00,8.34,5.92,32.44
15:00,7.26,5.96,30.34
16:00,7.02,6.51,35.08
17:00,7.43,6.45,35.32
18:00,7.49,5.58,35.64
19:00,7.19,6.42,63.41
20:00,6.6,6.63,33.42
21:00,7.45,6.22,36.8
22:00,7.4,6.05,36.95
23:00,4.78,5.87,35.52
23:30,3.66,4.92,115.65
